Produto,2018_11,2018_12,2019_1,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9,2019_10,2019_11,2019_12,2020_1,2020_2,2020_3,Total
GUNKAN SALMAO/TILAPIA MOLHO ESP.UN,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
GUNKAN SALMAO/TILAPIA MOLHO ESPECIAL,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
GUNKAN SALMÃO ARROZ PÇ,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,14.0
GUNKAN TARTAR CAMAR PÇ,0.0,3.0,5.0,8.0,1.0,1.0,1.0,4.0,5.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,37.0
GUNKAN TARTAR CAMAR UN,2.0,13.0,11.0,3.0,0.0,1.0,8.0,4.0,0.0,8.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,57.0
H2O/ COCA 600ML,8.0,64.0,53.0,48.0,26.0,15.0,23.0,16.0,18.0,17.0,15.0,11.0,17.0,9.0,20.0,19.0,14.0,393.0
HARU HOT HOSSOM,0.0,0.0,1.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,10.0,3.0,14.0,9.0,3.0,52.0
HARUM SALM REP,0.0,9.0,8.0,12.0,4.0,1.0,24.0,15.0,16.0,24.0,13.0,15.0,28.0,23.0,32.0,18.0,15.0,257.0
HARUMA D LEITE REP,0.0,54.0,70.0,67.0,38.0,27.0,104.0,66.0,59.0,65.0,49.0,64.0,88.0,68.0,61.0,75.0,56.0,1011.0
HARUMAKI DOCE LE PÇ,0.0,3.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,17.0
HARUMAKI EXECUTIVO,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
HARUMAKI LEGUMES PÇ,0.0,4.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0,26.0
